Year,Country,Total
1924,Austria,1
1924,Canada,1
1924,Finland,10
1924,France,2
1924,Norway,17
1924,Sweden,2
1924,Switzerland,3
1924,United States,3
1928,Austria,1
1928,Canada,1
1928,Finland,4
1928,Germany,1
1928,Norway,14
1928,Sweden,5
1928,Switzerland,1
1928,United States,5
1932,Austria,1
1932,Canada,7
1932,Finland,3
1932,Germany,2
1932,Norway,9
1932,Sweden,3
1932,Switzerland,1
1932,United States,10
1936,Austria,3
1936,Canada,1
1936,Finland,6
1936,France,1
1936,Germany,3
1936,Norway,13
1936,Sweden,6
1936,Switzerland,3
1936,United States,4
1948,Austria,2
1948,Canada,1
1948,Finland,6
1948,France,5
1948,Italy,1
1948,Norway,10
1948,Sweden,10
1948,Switzerland,8
1948,United States,7
1952,Austria,6
1952,Canada,2
1952,Finland,6
1952,Italy,1
1952,Netherlands,3
1952,Norway,16
1952,Sweden,4
1952,Switzerland,2
1952,United States,7
1956,Austria,6
1956,Canada,1
1956,Finland,6
1956,Italy,3
1956,Japan,1
1956,Norway,4
1956,Soviet Union,12
1956,Sweden,8
1956,Switzerland,3
1956,United States,5
1960,Austria,5
1960,Canada,2
1960,Finland,6
1960,France,3
1960,Netherlands,1
1960,Norway,6
1960,Soviet Union,11
1960,Sweden,6
1960,Switzerland,1
1960,United States,3
1964,Austria,5
1964,Canada,1
1964,Finland,6
1964,France,3
1964,Italy,3
1964,Netherlands,1
1964,Norway,15
1964,Soviet Union,9
1964,Sweden,6
1964,United States,4
1968,Austria,8
1968,Canada,1
1968,East Germany,3
1968,Finland,3
1968,France,5
1968,Italy,3
1968,Netherlands,4
1968,Norway,11
1968,Soviet Union,6
1968,Sweden,5
1968,Switzerland,5
1968,United States,2
1972,Austria,1
1972,East Germany,8
1972,Finland,2
1972,France,1
1972,Italy,4
1972,Japan,3
1972,Netherlands,4
1972,Norway,11
1972,Soviet Union,8
1972,Sweden,4
1972,Switzerland,8
1972,United States,1
1976,Austria,4
1976,Canada,1
1976,East Germany,11
1976,Finland,4
1976,Italy,3
1976,Netherlands,5
1976,Norway,6
1976,Soviet Union,14
1976,Sweden,2
1976,Switzerland,5
1976,United States,3
1980,Austria,5
1980,Canada,2
1980,East Germany,13
1980,Finland,6
1980,Italy,1
1980,Japan,1
1980,Netherlands,2
1980,Norway,8
1980,Soviet Union,12
1980,Sweden,4
1980,Switzerland,3
1980,United States,8
1984,Austria,1
1984,Canada,4
1984,East Germany,10
1984,Finland,9
1984,France,1
1984,Italy,1
1984,Japan,1
1984,Norway,5
1984,Soviet Union,14
1984,Sweden,8
1984,Switzerland,3
1984,United States,4
1988,Austria,8
1988,Canada,1
1988,East Germany,9
1988,Finland,4
1988,France,2
1988,Italy,5
1988,Japan,1
1988,Netherlands,4
1988,Norway,4
1988,Soviet Union,17
1988,Sweden,6
1988,Switzerland,8
1988,United States,2
1992,Austria,13
1992,Canada,3
1992,Finland,5
1992,France,5
1992,Germany,10
1992,Italy,9
1992,Japan,5
1992,Netherlands,4
1992,Norway,18
1992,Sweden,3
1992,Switzerland,3
1992,United States,2
1994,Austria,5
1994,Canada,7
1994,Finland,4
1994,France,3
1994,Germany,12
1994,Italy,8
1994,Japan,4
1994,Netherlands,4
1994,Norway,22
1994,Russia,9
1994,Sweden,1
1994,Switzerland,6
1994,United States,4
1998,Austria,12
1998,Canada,8
1998,Finland,11
1998,France,5
1998,Germany,6
1998,Italy,6
1998,Japan,8
1998,Netherlands,9
1998,Norway,19
1998,Russia,4
1998,Sweden,1
1998,Switzerland,6
1998,United States,3
2002,Austria,15
2002,Canada,7
2002,Finland,7
2002,France,5
2002,Germany,14
2002,Italy,4
2002,Japan,1
2002,Netherlands,6
2002,Norway,18
2002,Russia,5
2002,Sweden,2
2002,Switzerland,7
2002,United States,21
2006,Austria,16
2006,Canada,8
2006,Finland,7
2006,France,6
2006,Germany,12
2006,Italy,7
2006,Netherlands,5
2006,Norway,15
2006,Russia,9
2006,Sweden,5
2006,Switzerland,8
2006,United States,16
