Year,Country,Total
1924,Austria,1
1924,France,1
1928,Austria,2
1928,France,1
1932,France,1
1932,Hungary,1
1932,United States,1
1936,Austria,1
1936,Germany,1
1936,Hungary,1
1948,Canada,1
1948,Hungary,1
1952,Germany,1
1952,Hungary,1
1952,United States,1
1956,Austria,1
1956,Canada,1
1956,Hungary,1
1960,Canada,1
1960,Unified Team of Germany,1
1960,United States,1
1964,Austria,2
1964,Canada,1
1964,Italy,1
1964,Soviet Union,1
1964,Unified Team of Germany,1
1968,Austria,1
1968,East Germany,1
1968,Soviet Union,2
1968,West Germany,2
1972,East Germany,3
1972,Italy,1
1972,Soviet Union,2
1976,Austria,1
1976,East Germany,3
1976,Soviet Union,3
1976,United States,1
1976,West Germany,1
1980,Austria,1
1980,East Germany,2
1980,Hungary,1
1980,Italy,1
1980,Soviet Union,4
1984,East Germany,1
1984,Soviet Union,5
1984,United Kingdom,1
1984,United States,1
1984,West Germany,1
1988,Canada,1
1988,East Germany,2
1988,Soviet Union,4
1988,United States,1
1988,West Germany,1
1992,Canada,1
1992,France,1
1992,Germany,2
1992,Italy,1
1992,Unified Team,4
1994,Canada,1
1994,Germany,1
1994,Italy,2
1994,Russia,4
1994,United Kingdom,1
1998,France,1
1998,Germany,2
1998,Russia,4
1998,United States,2
2002,Canada,1
2002,China,1
2002,France,1
2002,Germany,1
2002,Italy,1
2002,Russia,2
2002,United States,2
2006,Austria,1
2006,China,2
2006,Germany,1
2006,Italy,1
2006,Russia,2
2006,United States,1
